"poaIdentifier";"issuedYear";"poaRowId";"programCode";"programLabel";"subprogramCode";" subprogramLabel";"projectCode";"projectLabel";"goalDescription";"goalValue";"measurementUnit";"temporalScopeLabel";"operationalActivityCode";"operationalActivityLabel";"budgetedActivityCode";"budgetedActivityLabel";"fundingSourceCode";"fundingType";"fundingAmount";"plannedAmountQ1";"plannedAmountQ2";"plannedAmountQ3";"plannedAmountQ4";"workType";"workType_uri";"province";"province_uri";"canton";"canton_uri";"parish";"parish_uri"
"001";2025;29;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"002";"Mejoramiento de la Vía Urdaneta San Antonio de Cumbe";"730604";"Pago de planillas de la fiscalización";"001";"Fondos Arrastre";184125.10;46031.28;46031.28;46031.28;46031.28;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Saraguro";"https://www.geonames.org/3651244/saraguro.html";"San Antonio de Cumbe";"https://www.geonames.org/10792748/san-antonio-de-qumbe-cumbe.html"
"001";2025;30;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"002";"Mejoramiento de la Vía Urdaneta San Antonio de Cumbe";"750105";"Pago de planillas de la obra";"001";"Fondos Arrastre";279429.90;69857.47;69857.47;69857.47;69857.47;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Saraguro";"https://www.geonames.org/3651244/saraguro.html";"San Antonio de Cumbe";"https://www.geonames.org/10792748/san-antonio-de-qumbe-cumbe.html"
"001";2025;31;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"002";"Mejoramiento de la Vía Urdaneta San Antonio de Cumbe";"750105";"Pago de planillas de la obra";"302";"Fondos Externos";2412572.99;603143.25;603143.25;603143.25;603143.25;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Saraguro";"https://www.geonames.org/3651244/saraguro.html";"San Antonio de Cumbe";"https://www.geonames.org/10792748/san-antonio-de-qumbe-cumbe.html"
"001";2025;32;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"005";"Mejoramiento de la vía Santa Rufina - Acceso a Mizhquillana";"730604";"Contratación de la fiscalización";"001";"Fondos Propios";60973.39;15243.35;15243.35;15243.35;15243.35;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Chaguarpamba";"https://www.geonames.org/3659485/chaguarpamba.html";"Santa Rufina";"https://www.geonames.org/10792711/santa-rufina.html"
"001";2025;33;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"005";"Mejoramiento de la vía Santa Rufina - Acceso a Mizhquillana";"750105";"Pago de planillas de la obra";"001";"Fondos Arrastre";1156868.51;289217.13;289217.13;289217.13;289217.13;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Chaguarpamba";"https://www.geonames.org/3659485/chaguarpamba.html";"Santa Rufina";"https://www.geonames.org/10792711/santa-rufina.html"
"001";2025;34;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"005";"Mejoramiento de la vía Santa Rufina - Acceso a Mizhquillana";"750105";"Pago de planillas de la obra";"302";"Fondos Externos";875577.93;218894.48;218894.48;218894.48;218894.48;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Chaguarpamba";"https://www.geonames.org/3659485/chaguarpamba.html";"Santa Rufina";"https://www.geonames.org/10792711/santa-rufina.html"
"001";2025;35;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"008";"Terminación con carpeta asfáltica de la vía San Pablo de Tenta - Paraíso de Celén, cantón Saraguro";"730604";"Pago de planillas de la fiscalización";"001";"Fondos Propios";12640.64;0.00;12640.64;0.00;0.00;"Pavimentación";"https://www.wikidata.org/wiki/Q111011408 ";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Saraguro";"https://www.geonames.org/3651244/saraguro.html";"San Pablo de Tenta";"https://www.geonames.org/10792749/san-pablo-de-tenta.html"
"001";2025;36;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"010";"Mejoramiento de la vía Sozoranga - Nueva Fátima";"730604";"Pago de planillas de la fiscalización";"001";"Fondos Arrastre";242130.74;60532.69;60532.69;60532.69;60532.69;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Sozoranga";"https://www.geonames.org/3650979/sozoranga.html";"Nueva Fátima";"https://www.geonames.org/10793541/nueva-fatima.html"
"001";2025;37;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"010";"Mejoramiento de la vía Sozoranga - Nueva Fátima";"750105";"Pago de planillas de la obra";"001";"Fondos Arrastre";1600000.00;400000.00;400000.00;400000.00;400000.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Sozoranga";"https://www.geonames.org/3650979/sozoranga.html";"Nueva Fátima";"https://www.geonames.org/10793541/nueva-fatima.html"
"001";2025;38;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"010";"Mejoramiento de la vía Sozoranga - Nueva Fátima";"750105";"Pago de planillas de la obra";"302";"Fondos Externos";900000.00;225000.00;225000.00;225000.00;225000.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Sozoranga";"https://www.geonames.org/3650979/sozoranga.html";"Nueva Fátima";"https://www.geonames.org/10793541/nueva-fatima.html"
"001";2025;39;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"011";"Mejoramiento de la vía El Limón - La Bocana - La Victoria";"730604";"Pago de planillas de la fiscalización";"001";"Fondos Arrastre";87698.22;43849.11;43849.11;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Paltas";"https://www.geonames.org/3653515/paltas.html";"Orianga";"https://www.geonames.org/10792686/orianga.html"
"001";2025;40;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"011";"Mejoramiento de la vía El Limón - La Bocana - La Victoria";"750105";"Pago de planillas de la obra";"001";"Fondos Arrastre";525410.65;262705.32;262705.32;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349678";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Paltas";"https://www.geonames.org/3653515/paltas.html";"Orianga";"https://www.geonames.org/10792686/orianga.html"
"001";2025;41;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"011";"Mejoramiento de la vía El Limón - La Bocana - La Victoria";"750105";"Pago de planillas de la obra";"302";"Fondos Externos";935067.75;467533.88;467533.88;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349679";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Paltas";"https://www.geonames.org/3653515/paltas.html";"Orianga";"https://www.geonames.org/10792686/orianga.html"
"001";2025;42;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"012";"Mejoramiento de la Vía Gonzanamá Purunuma";"730604";"Pago de planillas de la fiscalización";"001";"Fondos Arrastre";23809.35;11904.68;11904.68;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349680";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Gonzanamá";"https://www.geonames.org/3657777/canton-gonzanama.html";"Purunuma";"https://www.geonames.org/10792678/purunuma-eguiguren.html"
"001";2025;43;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"012";"Mejoramiento de la Vía Gonzanamá Purunuma";"750105";"Pago de planillas de la obra";"001";"Fondos Arrastre";396822.53;198411.27;198411.27;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349681";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Gonzanamá";"https://www.geonames.org/3657777/canton-gonzanama.html";"Purunuma";"https://www.geonames.org/10792678/purunuma-eguiguren.html"
"001";2025;44;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"013";"Rehabilitación de la vía Vilcabamba - Linderos - Moyococha; Mejoramiento de la vía Moyococha – Tumianuma - Quinara y acceso al Chaupi, cantón Loja, provincia de Loja";"730604";"Pago de planillas de la fiscalización";"001";"Fondos Arrastre";20000.00;10000.00;10000.00;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349682";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Loja";"https://www.geonames.org/3654666/loja.html";"Vilcabamba";"https://www.geonames.org/3650199/vilcabamba.html"
"001";2025;45;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"013";"Rehabilitación de la vía Vilcabamba - Linderos - Moyococha; Mejoramiento de la vía Moyococha – Tumianuma - Quinara y acceso al Chaupi, cantón Loja, provincia de Loja";"750105";"Pago de planillas de la obra";"001";"Fondos Arrastre";477451.19;238725.60;238725.60;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349683";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Loja";"https://www.geonames.org/3654666/loja.html";"Vilcabamba";"https://www.geonames.org/3650199/vilcabamba.html"
